"Title","Certificate","Genre","Rating","Running Time","Directors","Writers","Stars Cast","Country","Language","Budget","Gross","Release Date","Production Company"
"Nashville","R","Drama","10","159 min.","Robert Altman","NULL","Henry Gibson|Barbara Baxley|Ned Beatty|Karen Black","USA","NULL","NULL","NULL","NULL","Paramount"
"A Streetcar Named Desire","PG","Drama","10","122 min.","Elia Kazan","NULL","Vivien Leigh|Marlon Brando|Kim Hunter|Karl Malden","USA","NULL","NULL","NULL","Sep 18, 1951 (USA)","Warner Brothers"
"Titanic","PG13","Epic|Romance|Drama","10","195 min.","James Cameron","NULL","Leonardo DiCaprio|Kate Winslet|Billy Zane|Kathy Bates","USA","NULL","NULL","NULL","Dec 19, 1997 (USA), Apr 4, 2012 (USA - IMAX 3D)","20th Century Fox|Lightstorm Entertainment"
"The Lost Weekend","NULL","Drama","10","100 min.","Billy Wilder","NULL","Ray Milland|Jane Wyman|Howard Da Silva|Doris Dowling","USA","NULL","NULL","NULL","NULL","Paramount"
"Barry Lyndon","PG","Drama","10","184 min.","Stanley Kubrick","NULL","Ryan O'Neal|Marisa Berenson|Patrick Magee|Gay Hamilton","UK","NULL","NULL","NULL","NULL","Warner Brothers"
"Five Easy Pieces","R","Drama","10","98 min.","Bob Rafelson","NULL","Jack Nicholson|Karen Black|Lois Smith|Susan Anspach","USA","NULL","NULL","NULL","NULL","BBS|Columbia Pictures"
"The Treasure of the Sierra Madre","NR","Action|Adventure|Drama","10","126 min.","John Huston","NULL","Humphrey Bogart|Walter Huston|Tim Holt|Barton MacLane","USA","NULL","NULL","NULL","Jan 24, 1948 (USA)","Warner Brothers"
"Anatomy of a Murder","NR","Drama","10","161 min.","Otto Preminger","NULL","James Stewart|Lee Remick|Ben Gazzara|Arthur O'Connell","USA","NULL","NULL","NULL","Jul 1, 1959 (USA - Unknown)","Carlyle|Columbia Pictures|Otto Preminger Productions"
"Red","R","Drama","10","99 min.","Krzysztof Kieslowski","NULL","Jean-Louis Trintignant|Frederique Feder|Jean-Pierre Lorit","France|Poland|Switzerland","NULL","NULL","NULL","Dec 2, 1994 (USA - Limited)","CAB Productions|Canal Plus|Eurimages|France 3 Cinema|MK2 Productions|Swiss Ministry of Culture|Tor|TSR"
"Dangerous Liaisons","R","Drama","9","120 min.","Stephen Frears","NULL","Glenn Close|John Malkovich|Michelle Pfeiffer|Swoosie Kurtz","USA","NULL","NULL","NULL","Dec 21, 1988 (USA)","Franco London Films|Lorimar Productions|NFH Productions|Warner Brothers"
"Marty","NULL","Drama|Romance","9","90 min.","Delbert Mann","NULL","Ernest Borgnine|Betsy Blair|Esther Minciotti|Augusta Ciolli","USA","NULL","NULL","NULL","NULL","United Artists"
"Who's Afraid of Virginia Woolf?","NULL","Drama","9","150 min.","Mike Nichols","NULL","Elizabeth Taylor|Richard Burton|George Segal|Sandy Dennis","USA","NULL","NULL","NULL","NULL","Warner Brothers"
"The Remains of the Day","PG","Drama","9","134 min.","James Ivory","NULL","Anthony Hopkins|Emma Thompson|James Fox|Christopher Reeve","UK|USA","NULL","NULL","NULL","Nov 5, 1993 (USA - Limited)","Columbia Pictures"
"Brokeback Mountain","R","Romance|Drama","9","134 min.","Ang Lee","NULL","Heath Ledger|Jake Gyllenhaal|Michelle Williams|Anne Hathaway","Canada|USA","NULL","NULL","NULL","Dec 9, 2005 (USA - Limited)","Alberta Film Entertainment|This is That Productions"
"Million Dollar Baby","PG13","Drama","9","132 min.","Clint Eastwood","NULL","Clint Eastwood|Hilary Swank|Morgan Freeman|Anthony Mackie","USA","NULL","NULL","NULL","Dec 15, 2004 (USA - Limited)","Lakeshore Entertainment|Malpaso|Ruddy Morgan Production|Warner Brothers Pictures"
"Forrest Gump","PG13","Comedy Drama|Drama","9","142 min.","Robert Zemeckis","NULL","Tom Hanks|Robin Wright|Gary Sinise|Mykelti Williamson","USA","NULL","NULL","NULL","Jul 6, 1994 (USA)","Paramount"
"Talk to Her","R","Drama","10","114 min.","Pedro Almodvar","NULL","Daro Grandinetti|Leonor Watling|Rosario Flores|Geraldine Chaplin","Spain","NULL","NULL","NULL","Nov 22, 2002 (USA - Limited)","Deseo"
"Mystic River","R","Drama|Mystery","9","137 min.","Clint Eastwood","NULL","Sean Penn|Kevin Bacon|Tim Robbins|Laurence Fishburne","USA","NULL","NULL","NULL","Oct 8, 2003 (USA - Limited)","Malpaso Productions|NPV Entertainment|Village Roadshow Pictures"
"The Heiress","NULL","Drama","9","115 min.","William Wyler","NULL","Olivia de Havilland|Montgomery Clift|Ralph Richardson|Miriam Hopkins","USA","NULL","NULL","NULL","NULL","Paramount"
"How Green Was My Valley","NULL","Drama","9","125 min.","John Ford","NULL","Walter Pidgeon|Maureen O'Hara|Donald Crisp|Roddy McDowall","USA","NULL","NULL","NULL","NULL","20th Century Fox"
"The Pianist","R","Drama","9","148 min.","Roman Polanski","NULL","Adrien Brody|Thomas Kretschmann|Frank Finlay|Maureen Lipman","France|Germany|Poland|UK","NULL","NULL","NULL","NULL","Canal +|Heritage Films|R.P. Productions|Runteam Ltd.|Studio Babelsberg"
"The Fighter","R","Drama","9","115 min.","David O. Russell","NULL","Mark Wahlberg|Christian Bale|Amy Adams|Melissa Leo","USA","NULL","NULL","NULL","Dec 10, 2010 (USA - Limited), Dec 17, 2010 (USA - Expanding)","Closest to the Hole Productions|Mandeville Films|Relativity Media"
"The Color Purple","PG13","Drama","9","154 min.","Steven Spielberg","NULL","Danny Glover|Whoopi Goldberg|Margaret Avery|Oprah Winfrey","USA","NULL","NULL","NULL","NULL","Amblin Entertainment|Guber-Peters Company|Warner Brothers"
"Coming Home","R","Drama|Romance","9","127 min.","Hal Ashby","NULL","Jane Fonda|Jon Voight|Bruce Dern|Robert Ginty","USA","NULL","NULL","NULL","NULL","United Artists"
"Breaking the Waves","R","Drama","10","159 min.","Lars von Trier","NULL","Emily Watson|Katrin Cartlidge|Jean-Marc Barr|Adrian Rawlins","Denmark|France|Netherlands|Norway|Sweden","NULL","NULL","NULL","Nov 13, 1996 (USA - Limited)","Argus Film Produktie|La Sept Cinema|Liberator Productions|Northern|October Films|Trust Film Svenska AB|Zentropa Entertainments ApS"
"Magnolia","R","Drama","9","188 min.","Paul Thomas Anderson","NULL","Jason Robards, Jr.|Julianne Moore|Tom Cruise|Philip Seymour Hoffman","USA","NULL","NULL","NULL","Dec 17, 1999 (USA - Limited)","Ghoulardi Film Company"
"United 93","R","Drama","9","111 min.","Paul Greengrass","NULL","David Alan Basche|Richard Bekins|Susan Blommaert|Ray Charleson","USA","NULL","NULL","NULL","Apr 28, 2006 (USA)","Sidney Kimmel Entertainment|StudioCanal|Working Title Films"
