Title,Certificate,Genre,Rating,Running Time,Directors,Writers,Stars Cast,Country,Language,Budget,Gross,Release Date,Production Company
The St. Valentine's Day Massacre,NULL,Crime,8,100 min.,Roger Corman,NULL,"Jason Robards, Jr.|George Segal|Ralph Meeker|Jean Hale",USA,NULL,NULL,NULL,NULL,20th Century Fox|Corman Company
The Subject Was Roses,NULL,Drama,8,107 min.,Ulu Grosbard,NULL,Patricia Neal|Jack Albertson|Martin Sheen|Don Saxon,USA,NULL,NULL,NULL,"Oct 13, 1968 (USA - Unknown)",MGM
The Sugarland Express,PG,Crime,7,110 min.,Steven Spielberg,NULL,Goldie Hawn|Ben Johnson|Michael Sacks|William Atherton,USA,NULL,NULL,NULL,"Apr 5, 1974 (USA - Unknown)",Universal
The Sullivans,NULL,Drama,8,111 min.,Lloyd Bacon,NULL,Anne Baxter|Thomas Mitchell|Edmon Ryan|Ward Bond,USA,NULL,NULL,NULL,"Feb 3, 1944 (USA - Unknown)",20th Century Fox
The Sundowners,NR,Drama,8,133 min.,Fred Zinnemann,NULL,Deborah Kerr|Robert Mitchum|Peter Ustinov|Glynis Johns,Australia|UK|USA,NULL,NULL,NULL,"Dec 8, 1960 (USA - Unknown)",Warner Brothers
The Sun's Burial,NULL,Drama,8,87 min.,Nagisa Oshima,NULL,Masahiko Tsugawa|Yasuke Kawazu|Junzaburo Ban|Fumio Watanabe,Japan,NULL,NULL,NULL,NULL,NULL
The Survivalist,NR,Drama|Science Fiction|Thriller,8,104 min.,Stephen Fingleton,NULL,Martin McCann|Mia Goth|Olwen Fouere|Andrew Simpson,UK,NULL,NULL,NULL,"May 19, 2017 (USA - Limited)",thefyzz
The Sweeney,R,Crime,7,112 min.,Nick Love,NULL,Ray Winstone|Ben Drew|Hayley Atwell|Steven Mackintosh,UK,NULL,NULL,NULL,"Mar 1, 2013 (USA - Limited)",Embargo Fims|Exponential Media|Vertigo Films
The Sweet Hereafter,R,Drama,10,110 min.,Atom Egoyan,NULL,Ian Holm|Sarah Polley|Bruce Greenwood|David Hemblen,Canada,NULL,NULL,NULL,"Oct 10, 1997 (USA - Limited)",Alliance Atlantis Communications|Ego Film Arts|Fine Line Features
The Swimmer,PG,Drama,8,95 min.,Frank Perry,NULL,Burt Lancaster|Janet Landgard|Janice Rule|Diana Van Der Vlis,USA,NULL,NULL,NULL,"May 15, 1968 (USA - Unknown)",Columbia Pictures|Dover Productions|Horizon Productions
The Take,R,Thriller,8,96 min.,Brad Furman,NULL,John Leguizamo|Rosie Perez|Tyrese Gibson|Bobby Cannavale,USA,NULL,NULL,NULL,"Apr 11, 2008 (USA - Limited)",Hatchet Films|Ithaka Films
The Taking of Pelham 1 2 3,R,Thriller,7,106 min.,Tony Scott,NULL,Denzel Washington|John Travolta|James Gandolfini|John Turturro,USA,NULL,NULL,NULL,"Jun 12, 2009 (USA)",Escape Artists|Scott Free Productions
The Taking of Pelham One Two Three,R,Thriller,7,104 min.,Joseph Sargent,NULL,Walter Matthau|Robert Shaw|Martin Balsam|Hector Elizondo,USA,NULL,NULL,NULL,"Oct 2, 1974 (USA)",Palladium Productions|Palomar Pictures International|United Artists
The Talented Mr. Ripley,R,Drama|Thriller,8,139 min.,Anthony Minghella,NULL,Matt Damon|Gwyneth Paltrow|Jude Law|Cate Blanchett,USA,NULL,NULL,NULL,"Dec 25, 1999 (USA)",Mirage Enterprises|Miramax|Paramount|Timnick Films
The Tale of Ruby Rose,PG,Adventure|Drama,8,101 min.,Roger Scholes,NULL,Melita Jurisic|Rod Zuanic|Martyn Sanderson|Sheila Florance,Australia,NULL,NULL,NULL,NULL,F.G.H.|Seon Films
The Tall Stranger,NULL,Drama|Western,8,81 min.,Thomas Carr,NULL,Joel McCrea|Virginia Mayo|Barry Kelley|Michael Ansara,USA,NULL,NULL,NULL,NULL,Allied Artists|Universal
The Taste of Cherry,NR,Drama,9,98 min.,Abbas Kiarostami,NULL,Homayoun Ershadi,Iran,NULL,NULL,NULL,"Mar 20, 1998 (USA - Limited)",CiBy 2000
The Tenant,R,Thriller,8,125 min.,Roman Polanski,NULL,Roman Polanski|Isabelle Adjani|Melvyn Douglas|Jo Van Fleet,France|USA,NULL,NULL,NULL,NULL,CIC|Marianne Productions|Paramount
The Ten Commandments,NR,Epic|Action,10,219 min.,Cecil B. DeMille,NULL,Charlton Heston|Yul Brynner|Anne Baxter|Edward G. Robinson,USA,NULL,NULL,NULL,NULL,Paramount
The Tenth Man,NULL,Adventure|Drama|War,6,99 min.,Jack Gold|Richard T. Heffron,NULL,Anthony Hopkins|Derek Jacobi|Michael Attwell|Geoffrey Bayldon,UK|USA,NULL,NULL,NULL,"Dec 4, 1988 (USA - Unknown)",Rosemont Productions|William Self Productions
The Terminator,R,Science Fiction|Action,10,108 min.,James Cameron,NULL,Arnold Schwarzenegger|Michael Biehn|Linda Hamilton|Paul Winfield,USA,NULL,NULL,NULL,"Oct 26, 1984 (USA)",Hemdale|Pacific Western
The Terrorizers,NULL,Drama,8,112 min.,Edward Yang,NULL,Cora Miao|Gu Bao-ming,Hong Kong|Taiwan,NULL,NULL,NULL,NULL,Central Motion Picture Corporation
The Testament of Dr. Mabuse,NULL,Crime,8,120 min.,Fritz Lang,NULL,Rudolf Klein-Rogge|Otto Wernicke|Gustav Diessl|Wera Liessem,Germany,NULL,NULL,NULL,"May 31, 1932 (USA - Unknown)",Nero-Film
The Thieves,NULL,Crime,8,136 min.,Choi Dong-hun,NULL,Yun-seok Kim|Lee Jung-Jae|Simon Yam|Kim Hae-suk,NULL,NULL,NULL,NULL,"Oct 12, 2012 (USA - Limited)",Caper Film
The Thin Red Line,R,War,9,180 min.,Terrence Malick,NULL,Sean Penn|Adrien Brody|James Caviezel|Ben Chaplin,USA,NULL,NULL,NULL,"Dec 23, 1998 (USA - Limited), Jan 15, 1999 (USA)",Fox 2000 Pictures|George Stevens Jr. Productions|Phoenix Pictures
The Thomas Crown Affair,R,Crime|Romance,7,102 min.,Norman Jewison,NULL,Steve McQueen|Faye Dunaway|Paul Burke|Jack Weston,USA,NULL,NULL,NULL,"Jun 19, 1968 (USA - Unknown)",Mirisch Corporation|United Artists
The Thorn Birds [TV Miniseries],NULL,Drama|Romance,8,487 min.,Daryl Duke,NULL,Richard Chamberlain|Rachel Ward|Barbara Stanwyck|Christopher Plummer,NULL,NULL,NULL,NULL,NULL,Edward Lewis Productions|Warner Brothers Television
The Three Faces of Eve,NULL,Drama,8,91 min.,Nunnally Johnson,NULL,Joanne Woodward|David Wayne|Lee J. Cobb|Edwin Jerome,USA,NULL,NULL,NULL,"Sep 23, 1957 (USA - Unknown)",20th Century Fox
