Title,Certificate,Genre,Rating,Running Time,Directors,Writers,Stars Cast,Country,Language,Budget,Gross,Release Date,Production Company
Assassin's Creed III,NULL,Action|Adventure|History,8.2,NULL,Alex Hutchinson|Shea Wageman,Richard Farrese|Nicholas Grimwood,Noah Watts|Neil Napier|Robin Atkin Downes,Canada|Canada|Canada|Canada|Canada,English|Mohawk|French,NULL,NULL,30 October 2012 (USA),Ubisoft Annecy Production Studio|Ubisoft Bucharest Production Studio|Ubisoft Kiev Production Studio
Sly Cooper,NULL,Animation|Action|Adventure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pacific Heat,NULL,Animation|Action|Comedy,5.5,22min,NULL,NULL,Santo Cilauro|Tom Gleisner|Rebecca Massey,Australia,English,NULL,NULL,27 November 2016 (Australia),FOXTEL|Working Dog
Legionnaire,R,Action|Adventure|Drama,5.4,1h 39min,Peter MacDonald,Sheldon Lettich|Jean-Claude Van Damme,Jean-Claude Van Damme|Adewale Akinnuoye-Agbaje|Steven Berkoff,USA,English,"$20,000,000 ",NULL,3 December 1998 (Australia),Edward R. Pressman Film|Long Road Productions|Quadra Entertainment
DmC: Devil May Cry,NULL,Action|Adventure|Horror,7.9,NULL,Tameem Antoniades,Tameem Antoniades|Alex Garland,Tim Phillipps|David de Lautour|Sage Mears,UK,Japanese|English,NULL,NULL,15 January 2013 (USA),Ninja Theory|PCB Productions
Dying Light,NULL,Action|Horror|Thriller,8.3,NULL,Adrian Ciszewski|Marcin Nowak,Jerrold Brown|Dan Jolley,Roger Craig Smith|Nazneen Contractor|Suraj Partha,Poland,English,NULL,NULL,27 January 2015 (USA),Techland|Warner Bros. Interactive Entertainment (WBIE)
Next Day Air,R,Action|Comedy|Crime,5.8,1h 24min,Benny Boom,Blair Cobbs,Yasiin Bey|Mike Epps|Donald Faison,USA,English|French,"$3,000,000 ",NULL,8 May 2009 (USA),A-Mark Entertainment|Melee Entertainment|Next Day Air Productions
Riot Girls,NULL,Action|Sci-Fi,NULL,NULL,Jovanka Vuckovic,Katherine Collins,Madison Iseman|Paloma Kwiatkowski|Munro Chambers,Canada,NULL,NULL,NULL,NULL,Clique Pictures|Head Gear Films|Metrol Technology
Day of Reckoning,NULL,Action|Horror|Sci-Fi,3.3,1h 25min,Joel Novoa,Gregory Gieras,Jackson Hurst|Heather McComb|Jay Jay Warren,USA,English,NULL,NULL,8 October 2016 (USA),Epic Pictures Group
Duck Dodgers,TV-Y7,Animation|Action|Adventure,7.9,30min,NULL,NULL,Joe Alaskey|Bob Bergen|Richard McGonagle,USA,English,NULL,NULL,23 August 2003 (USA),Warner Bros. Animation
