Title,Certificate,Genre,Rating,Running Time,Directors,Writers,Stars Cast,Country,Language,Budget,Gross,Release Date,Production Company
Descendants 2,TV-G,Action|Adventure|Family,6.7,1h 51min,Kenny Ortega,Sara Parriott|Josann McGibbon,Dove Cameron|Cameron Boyce|Sofia Carson,USA,English,NULL,NULL,21 July 2017 (USA),Disney Channel
White House Down,PG-13,Action|Comedy|Drama,6.4,2h 11min,Roland Emmerich,James Vanderbilt,Channing Tatum|Jamie Foxx|Maggie Gyllenhaal,USA,English,"$150,000,000 ","$205,366,737 ",28 June 2013 (USA),Columbia Pictures|Mythology Entertainment|Centropolis Entertainment
Point Break,PG-13,Action|Crime|Sport,5.3,1h 54min,Ericson Core,Kurt Wimmer|Rick King,Edgar RamÌ_rez|Luke Bracey|Ray Winstone,China|China|China,French|Spanish|English,"$105,000,000 ","$133,718,711 ",25 December 2015 (USA),Alcon Entertainment|DMG Entertainment|Ehman Productions
V for Vendetta,R,Action|Drama|Sci-Fi,8.2,2h 12min,James McTeigue,Lilly Wachowski|Lana Wachowski,Hugo Weaving|Natalie Portman|Rupert Graves,USA|USA|USA,English,"$54,000,000 ","$132,511,035,",17 March 2006 (USA),Warner Bros.|Virtual Studios|Silver Pictures
Angel,TV-14,Action|Drama|Fantasy,8,44min,NULL,NULL,David Boreanaz|Charisma Carpenter|Alexis Denisof,USA,English,"$2,000,000 ",NULL,5 October 1999 (USA),Mutant Enemy|Greenwolf|Kuzui Enterprises
Allied,R,Action|Drama|Romance,7.1,2h 4min,Robert Zemeckis,Steven Knight,Brad Pitt|Marion Cotillard|Jared Harris,UK|UK,English|French|German|Arabic,"$85,000,000 ","$109,098,064 ",23 November 2016 (USA),GK Films|Huahua Media|ImageMovers
Allegiant,PG-13,Action|Adventure|Mystery,5.7,2h,Robert Schwentke,Noah Oppenheim|Adam Cooper,Shailene Woodley|Theo James|Jeff Daniels,USA,English,"$110,000,000 ","$179,246,868 ",18 March 2016 (USA),Mandeville Films|Red Wagon Entertainment|Summit Entertainment
Tombstone,R,Action|Biography|Drama,7.8,2h 10min,George P. Cosmatos|Kevin Jarre,Kevin Jarre,Kurt Russell|Val Kilmer|Sam Elliott,USA,English|Latin,"$25,000,000 ",NULL,25 December 1993 (USA),Hollywood Pictures|Cinergi Pictures Entertainment
Mission: Impossible - Rogue Nation,PG-13,Action|Adventure|Thriller,7.4,2h 11min,Christopher McQuarrie,Christopher McQuarrie|Christopher McQuarrie,Tom Cruise|Rebecca Ferguson|Jeremy Renner,China|China|China,English|Swedish|German,"$150,000,000 ","$700,868,363 ",31 July 2015 (USA),Paramount Pictures|Skydance Media|Bad Robot
Acts of Violence,R,Action|Drama,5,1h 26min,Brett Donowho,Nicolas Aaron Mezzanatto,Bruce Willis|Cole Hauser|Shawn Ashmore,Canada,English,NULL,NULL,12 January 2018 (USA),Colecar Productions|Emmett/Furla/Oasis Films (EFO Films)|River Bay Films
CHIPS,R,Action|Comedy|Crime,6,1h 40min,Dax Shepard,Rick Rosner|Dax Shepard,Michael PeÌ±a|Dax Shepard|Vincent D'Onofrio,USA,English|Spanish,"$25,000,000 ",NULL,24 March 2017 (USA),Primate Pictures|RatPac-Dune Entertainment|Warner Bros.
Inhumans,TV-PG,Action|Adventure|Sci-Fi,5.2,43min,NULL,NULL,Anson Mount|Serinda Swan|Ken Leung,USA,English,NULL,NULL,29 September 2017 (USA),ABC Studios|Disney-ABC Domestic Television|IMAX
Minions,PG,Animation|Action|Adventure,6.4,1h 31min,Kyle Balda|Pierre Coffin,Brian Lynch,Sandra Bullock|Jon Hamm|Michael Keaton,USA,English|Spanish,"$74,000,000 ","$1,163,534,901 ",10 July 2015 (USA),Illumination Entertainment|Universal Pictures
The Legend of Korra,TV-Y7-FV,Animation|Action|Adventure,8.6,23min,NULL,NULL,Janet Varney|P.J. Byrne|David Faustino,USA,English,NULL,NULL,14 April 2012 (USA),Ginormous Madman|Nickelodeon Animation Studios
Ghostbusters II,PG,Action|Comedy|Fantasy,6.5,1h 48min,Ivan Reitman,Dan Aykroyd|Harold Ramis,Bill Murray|Dan Aykroyd|Sigourney Weaver,USA,English,"$37,000,000 ","$215,394,738 ",16 June 1989 (USA),Columbia Pictures Corporation
Snowpiercer,R,Action|Adventure|Sci-Fi,7,2h 6min,Joon-ho Bong,Joon-ho Bong|Kelly Masterson,Chris Evans|Jamie Bell|Tilda Swinton,South Korea|South Korea,English|Korean|French|Japanese|Czech,"$39,200,000 ","$86,758,912,",11 July 2014 (USA),SnowPiercer|Moho Film|Opus Pictures
The Equalizer,R,Action|Crime|Thriller,7.2,2h 12min,Antoine Fuqua,Richard Wenk|Michael Sloan,Denzel Washington|Marton Csokas|ChloÌÇ Grace Moretz,USA,English|Russian|Spanish,"$55,000,000 ","$192,330,738 ",26 September 2014 (USA),Columbia Pictures|LStar Capital|Village Roadshow Pictures
Men in Black 3,PG-13,Action|Adventure|Comedy,6.8,1h 46min,Barry Sonnenfeld,Etan Cohen|Lowell Cunningham,Will Smith|Tommy Lee Jones|Josh Brolin,USA,English|Ukrainian,"$225,000,000 ","$624,026,776 ",25 May 2012 (USA),Columbia Pictures|Hemisphere Media Capital|Amblin Entertainment
Skyfall,PG-13,Action|Adventure|Thriller,7.8,2h 23min,Sam Mendes,Neal Purvis|Robert Wade,Daniel Craig|Javier Bardem|Naomie Harris,UK|UK,English,"$200,000,000 ","$1,108,561,013 ",9 November 2012 (USA),Eon Productions|B23|Columbia Pictures
World War Z,PG-13,Action|Adventure|Horror,7,1h 56min,Marc Forster,Matthew Michael Carnahan|Drew Goddard,Brad Pitt|Mireille Enos|Daniella Kertesz,USA,English|Spanish|Hebrew|Arabic,"$190,000,000 ","$540,007,876,",21 June 2013 (USA),Paramount Pictures|Skydance Media|Hemisphere Media Capital
Batman,PG-13,Action|Adventure,7.6,2h 6min,Tim Burton,Bob Kane|Sam Hamm,Michael Keaton|Jack Nicholson|Kim Basinger,USA|USA,English|French|Spanish,"$35,000,000 ","$411,348,924 ",23 June 1989 (USA),"Warner Bros.|Guber-Peters Company, The|PolyGram Filmed Entertainment"
G.I. Joe: The Rise of Cobra,PG-13,Action|Adventure|Sci-Fi,5.8,1h 58min,Stephen Sommers,Stuart Beattie|David Elliot,Dennis Quaid|Channing Tatum|Marlon Wayans,USA|USA,English|French|Scottish Gaelic,"$175,000,000 ","$302,469,017 ",7 August 2009 (USA),Paramount Pictures|Spyglass Entertainment|Hasbro
The Huntsman: Winter's War,PG-13,Action|Adventure|Drama,6.1,1h 54min,Cedric Nicolas-Troyan,Evan Spiliotopoulos|Craig Mazin,Chris Hemsworth|Jessica Chastain|Charlize Theron,USA,English,"$115,000,000 ","$165,536,477 ",22 April 2016 (USA),Universal Pictures|Perfect World Pictures|Roth Films
X-Men,PG-13,Action|Adventure|Sci-Fi,7.4,1h 44min,Bryan Singer,Tom DeSanto|Bryan Singer,Patrick Stewart|Hugh Jackman|Ian McKellen,USA,English,"$75,000,000 ","$296,339,527 ",14 July 2000 (USA),Twentieth Century Fox|Marvel Enterprises|Donners' Company
Killjoys,TV-MA,Action|Adventure|Sci-Fi,7.2,42min,NULL,NULL,Hannah John-Kamen|Aaron Ashmore|Luke Macfarlane,Canada,English,NULL,NULL,19 June 2015 (USA),Bell Media|Temple Street Productions
The Hunger Games: Mockingjay - Part 2,PG-13,Action|Adventure|Sci-Fi,6.5,2h 17min,Francis Lawrence,Peter Craig|Danny Strong,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth,USA|USA,English,"$160,000,000 ","$653,428,261 ",20 November 2015 (USA),Color Force|Lionsgate|Studio Babelsberg
Beyond Skyline,R,Action|Adventure|Horror,5.4,1h 46min,Liam O'Donnell,Liam O'Donnell,Frank Grillo|Bojana Novakovic|Jonny Weston,UK|UK|UK|UK|UK|UK,English|Indonesian,NULL,NULL,15 December 2017 (USA),Beyond The Mothership|Infinite Frameworks Pte. Ltd.|m45 Productions
Hot Fuzz,R,Action|Comedy,7.9,2h 1min,Edgar Wright,Edgar Wright|Simon Pegg,Simon Pegg|Nick Frost|Martin Freeman,UK|UK,English,"å£8,000,000","$80,573,774 ",20 April 2007 (USA),StudioCanal|Working Title Films|Big Talk Productions
Big Hero 6,PG,Animation|Action|Adventure,7.8,1h 42min,Don Hall|Chris Williams,Jordan Roberts|Robert L. Baird,Ryan Potter|Scott Adsit|Jamie Chung,USA,English,"$165,000,000 ","$657,827,828 ",7 November 2014 (USA),FortyFour Studios|Walt Disney Animation Studios|Walt Disney Pictures
X-Men Origins: Wolverine,PG-13,Action|Adventure|Sci-Fi,6.6,1h 47min,Gavin Hood,David Benioff|Skip Woods,Hugh Jackman|Liev Schreiber|Ryan Reynolds,USA|USA,English,"$150,000,000 ","$373,062,864,",1 May 2009 (USA),Twentieth Century Fox|Marvel Enterprises|Dune Entertainment
Mandy,NULL,Action|Thriller,8.2,2h 1min,Panos Cosmatos,Panos Cosmatos|Aaron Stewart-Ahn,Nicolas Cage|Andrea Riseborough|Linus Roache,USA,English,"$6,000,000 ",NULL,19 January 2018 (USA),SpectreVision|Umedia|Legion M
Sucker Punch,PG-13,Action|Fantasy,6.1,1h 50min,Zack Snyder,Zack Snyder|Steve Shibuya,Emily Browning|Vanessa Hudgens|Abbie Cornish,USA|USA,English|German,"$82,000,000 ","$89,792,502,",25 March 2011 (USA),Warner Bros.|Legendary Entertainment|Cruel & Unusual Films
Predators,R,Action|Adventure|Sci-Fi,6.4,1h 47min,NimrÌ_d Antal,Alex Litvak|Michael Finch,Adrien Brody|Laurence Fishburne|Topher Grace,USA,English|Spanish|Russian,"$40,000,000 ","$127,233,108,",9 July 2010 (USA),Twentieth Century Fox|Troublemaker Studios|Davis Entertainment
Logan's Run,PG,Action|Sci-Fi,6.8,1h 59min,Michael Anderson,David Zelag Goodman|William F. Nolan,Michael York|Jenny Agutter|Richard Jordan,USA,English,"$9,000,000 ",NULL,23 June 1976 (USA),Metro-Goldwyn-Mayer (MGM)
Spider-Man 3,PG-13,Action|Adventure|Sci-Fi,6.2,2h 19min,Sam Raimi,Sam Raimi|Ivan Raimi,Tobey Maguire|Kirsten Dunst|Topher Grace,USA,English|French,"$258,000,000 ","$554,341,323 ",4 May 2007 (USA),Columbia Pictures|Marvel Studios|Laura Ziskin Productions
Real Steel,PG-13,Action|Drama|Family,7.1,2h 7min,Shawn Levy,John Gatins|Dan Gilroy,Hugh Jackman|Evangeline Lilly|Dakota Goyo,USA|USA,English|Ukrainian,"$110,000,000 ","$299,268,508 ",7 October 2011 (USA),DreamWorks|Touchstone Pictures|Reliance Entertainment
Wynonna Earp,TV-14,Action|Drama|Fantasy,7.5,1h,NULL,NULL,Melanie Scrofano|Shamier Anderson|Tim Rozon,Canada|Canada,English,NULL,NULL,April 2016 (USA),Seven24 Films
Spy,R,Action|Comedy|Crime,7,1h 59min,Paul Feig,Paul Feig,Melissa McCarthy|Rose Byrne|Jude Law,USA,English|French|Italian|German,"$65,000,000 ","$236,400,000,",5 June 2015 (USA),Twentieth Century Fox|Chernin Entertainment|Feigco Entertainment
Deepwater Horizon,PG-13,Action|Drama|Thriller,7.2,1h 47min,Peter Berg,Matthew Michael Carnahan|Matthew Sand,Mark Wahlberg|Kurt Russell|Douglas M. Griffin,Hong Kong|Hong Kong,English,"$110,000,000 ","$118,188,581,",30 September 2016 (USA),Summit Entertainment|Participant Media|Di Bonaventura Pictures
Godzilla,PG-13,Action|Adventure|Sci-Fi,6.4,2h 3min,Gareth Edwards,Max Borenstein|Dave Callaham,Aaron Taylor-Johnson|Elizabeth Olsen|Bryan Cranston,USA|USA,English|Japanese,"$160,000,000 ","$529,076,069 ",16 May 2014 (USA),Warner Bros.|Legendary Entertainment|Disruption Entertainment
Apocalypto,R,Action|Adventure|Drama,7.8,2h 19min,Mel Gibson,Mel Gibson|Farhad Safinia,Gerardo Taracena|Raoul Max Trujillo|Dalia HernÌÁndez,USA,Maya,"$40,000,000 ","$120,654,337 ",8 December 2006 (USA),Icon Entertainment International|Icon Productions|Touchstone Pictures
The Terminator,R,Action|Sci-Fi,8,1h 47min,James Cameron,James Cameron|Gale Anne Hurd,Arnold Schwarzenegger|Linda Hamilton|Michael Biehn,UK|UK,English|Spanish,"$6,400,000 ","$40,000,000 ",26 October 1984 (USA),Hemdale|Pacific Western|Euro Film Funding
Everest,PG-13,Action|Adventure|Drama,7.1,2h 1min,Baltasar KormÌÁkur,William Nicholson|Simon Beaufoy,Jason Clarke|Ang Phula Sherpa|Thomas M. Wright,UK|UK|UK,English|Russian,"$55,000,000 ","$202,394,678 ",25 September 2015 (USA),Working Title Films|RVK Studios|Walden Media
Kill Bill: Vol. 2,R,Action|Crime|Thriller,8,2h 17min,Quentin Tarantino,Quentin Tarantino|Quentin Tarantino,Uma Thurman|David Carradine|Michael Madsen,USA,English|Cantonese|Mandarin|Spanish,"$30,000,000 ","$152,159,461,",16 April 2004 (USA),Miramax|A Band Apart|Super Cool ManChu
Bonnie and Clyde,R,Action|Biography|Crime,7.9,1h 51min,Arthur Penn,David Newman|Robert Benton,Warren Beatty|Faye Dunaway|Michael J. Pollard,USA,English,"$2,500,000 ","$70,000,000,",September 1967 (USA),Warner Brothers/Seven Arts|Tatira-Hiller Productions
Mortal Engines,NULL,Action|Fantasy|Sci-Fi,NULL,NULL,Christian Rivers,Fran Walsh|Philippa Boyens,Robert Sheehan|Hugo Weaving|Stephen Lang,New Zealand|New Zealand,English,"$100,000,000 ",NULL,14 December 2018 (USA),Media Rights Capital (MRC)|Scholastic Productions|Silvertongue Films
Fast & Furious 9,NULL,Action|Adventure|Crime,NULL,NULL,Justin Lin,Chris Morgan|Gary Scott Thompson,Vin Diesel|Lucas Black|Tyrese Gibson,USA,English,NULL,NULL,10 April 2020 (USA),Original Film|Universal Pictures
Open Range,R,Action|Drama|Romance,7.5,2h 19min,Kevin Costner,Lauran Paine|Craig Storper,Kevin Costner|Robert Duvall|Diego Luna,USA,English,"$22,000,000 ","$68,613,992 ",15 August 2003 (USA),Touchstone Pictures|Cobalt Media Group|Beacon Pictures
Kick-Ass 2,R,Action|Comedy|Crime,6.6,1h 43min,Jeff Wadlow,Jeff Wadlow|Mark Millar,Aaron Taylor-Johnson|ChloÌÇ Grace Moretz|Christopher Mintz-Plasse,USA|USA|USA,English,"$28,000,000 ","$63,297,114 ",16 August 2013 (USA),Universal Pictures|Marv Films|Dentsu
Kickboxer: Retaliation,R,Action|Drama,5,1h 50min,Dimitri Logothetis,Dimitri Logothetis|Jim McGrath,Alain Moussi|Christopher Lambert|Jean-Claude Van Damme,USA,English,"$13,000,000 ",NULL,1 February 2018 (Singapore),Our House Films|Head Gear Films|Metrol Technology
Mighty Morphin Power Rangers,TV-Y7,Action|Adventure|Family,6.4,30min,NULL,NULL,Richard Steven Horvitz|David Yost|Ed Neil,USA|USA,English,NULL,NULL,28 August 1993 (USA),MMPR Productions Inc.|Renaissance-Atlantic Films|Saban Entertainment
Sherlock Holmes,PG-13,Action|Adventure|Crime,7.6,2h 8min,Guy Ritchie,Michael Robert Johnson|Anthony Peckham,Robert Downey Jr.|Jude Law|Rachel McAdams,USA|USA,English|French,"$90,000,000 ","$524,028,679,",25 December 2009 (USA),Warner Bros.|Village Roadshow Pictures|Silver Pictures
Casino Royale,PG-13,Action|Adventure|Thriller,8,2h 24min,Martin Campbell,Neal Purvis|Robert Wade,Daniel Craig|Eva Green|Judi Dench,UK|UK|UK|UK|UK|UK,English|French,"$150,000,000 ","$599,045,960,",17 November 2006 (USA),Columbia Pictures|Eon Productions|Casino Royale Productions
Star Trek: Into Darkness,PG-13,Action|Adventure|Sci-Fi,7.8,2h 12min,J.J. Abrams,Roberto Orci|Alex Kurtzman,Chris Pine|Zachary Quinto|Zoe Saldana,USA,English|Klingon,"$190,000,000 ","$467,365,246,",16 May 2013 (USA),Paramount Pictures|Skydance Media|Bad Robot
The Hunger Games: Catching Fire,PG-13,Action|Adventure|Mystery,7.5,2h 26min,Francis Lawrence,Simon Beaufoy|Michael Arndt,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth,USA,English,"$130,000,000 ","$864,912,963 ",22 November 2013 (USA),Color Force|Lionsgate
Road House,R,Action|Thriller,6.5,1h 54min,Rowdy Herrington,R. Lance Hill|R. Lance Hill,Patrick Swayze|Kelly Lynch|Sam Elliott,USA,English|Portuguese,"$17,000,000 ",NULL,19 May 1989 (USA),Silver Pictures|Star Partners II Ltd.
Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13,Action|Adventure|Comedy,6,1h 52min,Dave Green,Josh Appelbaum|AndrÌ© Nemec,Megan Fox|Will Arnett|Tyler Perry,USA|USA|USA|USA,English,"$135,000,000 ","$245,623,848 ",3 June 2016 (USA),Paramount Pictures|Nickelodeon Movies|Platinum Dunes
6 Days,R,Action|Drama|History,6.2,1h 34min,Toa Fraser,Glenn Standring,Jamie Bell|Mark Strong|Abbie Cornish,UK|UK,English,NULL,NULL,18 August 2017 (USA),General Film Corporation
The Great Wall,PG-13,Action|Adventure|Fantasy,6,1h 43min,Yimou Zhang,Carlo Bernard|Doug Miro,Matt Damon|Tian Jing|Willem Dafoe,USA|USA|USA|USA|USA,English|Mandarin|Spanish,"$150,000,000 ","$334,933,831 ",17 February 2017 (USA),Legendary East|Atlas Entertainment|China Film Group
King Kong,PG-13,Action|Adventure|Drama,7.2,3h 7min,Peter Jackson,Fran Walsh|Philippa Boyens,Naomi Watts|Jack Black|Adrien Brody,New Zealand|New Zealand|New Zealand,English,NULL,NULL,14 December 2005 (USA),Universal Pictures|WingNut Films|Big Primate Pictures
Flashpoint,NULL,Action|Adventure|Fantasy,NULL,NULL,John Francis Daley|Jonathan Goldstein,Gardner Fox|Joby Harold,Gal Gadot|Ezra Miller|Billy Crudup,USA,English,NULL,NULL,2020 (USA),DC Comics|DC Entertainment|Warner Bros.
Jupiter Ascending,PG-13,Action|Adventure|Sci-Fi,5.3,2h 7min,Lana Wachowski|Lilly Wachowski,Lilly Wachowski|Lana Wachowski,Channing Tatum|Mila Kunis|Eddie Redmayne,USA|USA,English|Russian,"$176,000,000 ","$183,887,723 ",6 February 2015 (USA),Warner Bros.|Village Roadshow Pictures|Dune Entertainment
One Piece: Wan pÌ¨su,NULL,Animation|Action|Adventure,8.6,24min,NULL,NULL,Mayumi Tanaka|Tony Beck|Laurent Vernin,Japan,Japanese|English,"JPYåÊ10,000,000",NULL,18 September 2004 (USA),Toei Animation
Tron,PG,Action|Adventure|Sci-Fi,6.8,2h 5min,Joseph Kosinski,Edward Kitsis|Adam Horowitz,Jeff Bridges|Garrett Hedlund|Olivia Wilde,USA,English,"$170,000,000 ","$400,062,763,",17 December 2010 (USA),Walt Disney Pictures|Sean Bailey Productions|LivePlanet
The Brothers Grimsby,R,Action|Adventure|Comedy,6.2,1h 23min,Louis Leterrier,Sacha Baron Cohen|Phil Johnston,Sacha Baron Cohen|Mark Strong|Rebel Wilson,UK|UK|UK,English|Ukrainian,"$35,000,000 ",NULL,11 March 2016 (USA),Big Talk Productions|Blue Sky Films|Columbia Pictures
In Time,PG-13,Action|Sci-Fi|Thriller,6.7,1h 49min,Andrew Niccol,Andrew Niccol,Justin Timberlake|Amanda Seyfried|Cillian Murphy,USA,English,"$40,000,000 ","$173,930,596 ",28 October 2011 (USA),Regency Enterprises|New Regency Pictures|Strike Entertainment
Kick-Ass,R,Action|Comedy,7.6,1h 57min,Matthew Vaughn,Jane Goldman|Matthew Vaughn,Aaron Taylor-Johnson|Nicolas Cage|ChloÌÇ Grace Moretz,UK|UK,English,"$30,000,000 ","$96,188,903 ",16 April 2010 (USA),Marv Films|Plan B Entertainment
Star Wars: Episode V - The Empire Strikes Back,PG,Action|Adventure|Fantasy,8.8,2h 4min,Irvin Kershner,Leigh Brackett|Lawrence Kasdan,Mark Hamill|Harrison Ford|Carrie Fisher,USA,English,"$18,000,000 ","$247,916,602 ",20 June 1980 (USA),Lucasfilm
Lara Croft Tomb Raider: The Cradle of Life,PG-13,Action|Adventure|Fantasy,5.5,1h 57min,Jan de Bont,Dean Georgaris|Steven E. de Souza,Angelina Jolie|Gerard Butler|Chris Barrie,USA|USA|USA|USA,English|Mandarin,"$95,000,000 ","$156,505,388 ",25 July 2003 (USA),Paramount Pictures|Mutual Film Company|British Broadcasting Corporation (BBC)
How to Train Your Dragon,PG,Animation|Action|Adventure,8.1,1h 38min,Dean DeBlois|Chris Sanders,William Davies|Dean DeBlois,Jay Baruchel|Gerard Butler|Christopher Mintz-Plasse,USA,English,"$165,000,000 ","$494,878,759,",26 March 2010 (USA),DreamWorks Animation|Mad Hatter Entertainment|Vertigo Entertainment
From Dusk Till Dawn: The Series,TV-MA,Action|Crime|Horror,7,45min,NULL,NULL,D.J. Cotrona|Zane Holtz|Jesse Garcia,USA,English,NULL,NULL,11 March 2014 (USA),FactoryMade Ventures|Miramax|Rodriguez International Pictures
Insurgent,PG-13,Action|Adventure|Sci-Fi,6.2,1h 59min,Robert Schwentke,Brian Duffield|Akiva Goldsman,Shailene Woodley|Ansel Elgort|Theo James,USA,English,"$110,000,000 ","$297,276,329 ",20 March 2015 (USA),Summit Entertainment|Red Wagon Entertainment|Mandeville Films
How to Train Your Dragon 3,NULL,Animation|Action|Adventure,NULL,NULL,Dean DeBlois,Cressida Cowell|Dean DeBlois,Cate Blanchett|Kristen Wiig|Gerard Butler,USA,English,NULL,NULL,1 March 2019 (USA),DreamWorks Animation|Mad Hatter Entertainment
Unlocked,R,Action|Drama|Mystery,6.2,1h 38min,Michael Apted,Peter O'Brien,Noomi Rapace|Orlando Bloom|Toni Collette,Czech Republic|Czech Republic|Czech Republic|Czech Republic,English|Dari|German,NULL,NULL,5 May 2017 (UK),Bloom|Czech Anglo Productions|Di Bonaventura Pictures
The Lost World: Jurassic Park,PG-13,Action|Adventure|Sci-Fi,6.5,2h 9min,Steven Spielberg,Michael Crichton|David Koepp,Jeff Goldblum|Julianne Moore|Pete Postlethwaite,USA,English|Spanish,"$73,000,000 ","$618,638,999 ",23 May 1997 (USA),Universal Pictures|Amblin Entertainment|Digital Image Associates
Snow White and the Huntsman,PG-13,Action|Adventure|Drama,6.1,2h 7min,Rupert Sanders,Evan Daugherty|John Lee Hancock,Kristen Stewart|Chris Hemsworth|Charlize Theron,USA,English,"$170,000,000 ","$396,592,829 ",1 June 2012 (USA),Roth Films|Universal Pictures
Jack Reacher: Never Go Back,PG-13,Action|Adventure|Crime,6.1,1h 58min,Edward Zwick,Richard Wenk|Edward Zwick,Tom Cruise|Cobie Smulders|Aldis Hodge,China|China,English|Ukrainian,"$60,000,000 ","$162,146,076 ",21 October 2016 (USA),Paramount Pictures|Skydance Media|Huahua Media
The Amazing Spider-Man 2,PG-13,Action|Adventure|Sci-Fi,6.7,2h 22min,Marc Webb,Alex Kurtzman|Roberto Orci,Andrew Garfield|Emma Stone|Jamie Foxx,USA,English,"$200,000,000 ","$708,982,323 ",2 May 2014 (USA),Marvel Enterprises|Avi Arad Productions|Columbia Pictures
The Amazing Spider-Man,PG-13,Action|Adventure|Sci-Fi,7,2h 16min,Marc Webb,James Vanderbilt|Alvin Sargent,Andrew Garfield|Emma Stone|Rhys Ifans,USA,English,"$230,000,000 ","$757,930,663 ",3 July 2012 (USA),Columbia Pictures|Marvel Entertainment|Laura Ziskin Productions
The Belko Experiment,R,Action|Horror|Thriller,6.1,1h 29min,Greg McLean,James Gunn,John Gallagher Jr.|Tony Goldwyn|Adria Arjona,USA|USA,English,"$5,000,000 ",NULL,17 March 2017 (USA),BH Tilt|Blumhouse Productions|Itaca Films
Triple 9,R,Action|Crime|Drama,6.3,1h 55min,John Hillcoat,Matt Cook,Casey Affleck|Chiwetel Ejiofor|Anthony Mackie,USA,English|Spanish|Russian,"$20,000,000 ",NULL,26 February 2016 (USA),Worldview Entertainment|Anonymous Content|MadRiver Pictures
Journey 2: The Mysterious Island,PG,Action|Adventure|Comedy,5.8,1h 34min,Brad Peyton,Brian Gunn|Mark Gunn,Josh Hutcherson|Dwayne Johnson|Michael Caine,USA,English,"$79,000,000 ","$335,260,290 ",10 February 2012 (USA),New Line Cinema|Contrafilm|Walden Media
22 Jump Street,R,Action|Comedy|Crime,7,1h 52min,Phil Lord|Christopher Miller,Michael Bacall|Oren Uziel,Channing Tatum|Jonah Hill|Ice Cube,USA,English,"$50,000,000 ","$331,333,876 ",13 June 2014 (USA),Columbia Pictures|Metro-Goldwyn-Mayer (MGM)|LStar Capital
Austin Powers: The Spy Who Shagged Me,PG-13,Action|Adventure|Comedy,6.6,1h 35min,Jay Roach,Mike Myers|Michael McCullers,Mike Myers|Heather Graham|Michael York,USA,English|German,"$33,000,000 ","$312,016,858 ",11 June 1999 (USA),New Line Cinema|Eric's Boy|Moving Pictures (I)
Indiana Jones and the Last Crusade,PG-13,Action|Adventure|Fantasy,8.3,2h 7min,Steven Spielberg,Jeffrey Boam|George Lucas,Harrison Ford|Sean Connery|Alison Doody,USA,English|German|Greek|Arabic,"$48,000,000 ","$474,171,806,",24 May 1989 (USA),Paramount Pictures|Lucasfilm
Mad Max,R,Action|Adventure|Sci-Fi,7,1h 28min,George Miller,James McCausland|George Miller,Mel Gibson|Joanne Samuel|Hugh Keays-Byrne,Australia,English,"$200,000 ","$100,000,000,",21 March 1980 (USA),Kennedy Miller Productions|Crossroads|Mad Max Films
Captain Underpants: The First Epic Movie,PG,Animation|Action|Comedy,6.2,1h 29min,David Soren,Nicholas Stoller|Dav Pilkey,Kevin Hart|Thomas Middleditch|Ed Helms,USA|USA|USA|USA|USA,English,"$38,000,000 ",NULL,2 June 2017 (USA),DreamWorks Animation|Treehouse Comix
Mile 22,NULL,Action,NULL,NULL,Peter Berg,Lea Carpenter|Graham Roland,Mark Wahlberg|Lauren Cohan|John Malkovich,USA,English,NULL,NULL,20 July 2018 (USA),STX Entertainment|Closest to the Hole Productions|Film 44
Burn Notice,TV-PG,Action|Crime|Drama,8,44min,NULL,NULL,Jeffrey Donovan|Gabrielle Anwar|Bruce Campbell,USA,English,NULL,NULL,28 June 2007 (USA),Flying Glass of Milk Productions|Fox Television Studios|Fuse Entertainment
Star Wars: Episode VI - Return of the Jedi,PG,Action|Adventure|Fantasy,8.3,2h 11min,Richard Marquand,Lawrence Kasdan|George Lucas,Mark Hamill|Harrison Ford|Carrie Fisher,USA,English,"$32,500,000 ","$572,705,079,",25 May 1983 (USA),Lucasfilm
Waterworld,PG-13,Action|Adventure|Sci-Fi,6.1,2h 15min,Kevin Reynolds,Peter Rader|David Twohy,Kevin Costner|Jeanne Tripplehorn|Dennis Hopper,USA,English,"$175,000,000 ","$264,218,220 ",28 July 1995 (USA),Universal Pictures|Gordon Company|Davis Entertainment
Continuum,NULL,Action|Sci-Fi|Thriller,7.7,45min,NULL,NULL,Rachel Nichols|Victor Webster|Erik Knudsen,Canada,English,NULL,NULL,14 January 2013 (USA),Reunion Pictures|Shaw Media
Pirates of the Caribbean: On Stranger Tides,PG-13,Action|Adventure|Fantasy,6.6,2h 16min,Rob Marshall,Ted Elliott|Terry Rossio,Johnny Depp|PenÌ©lope Cruz|Ian McShane,USA|USA,English|Spanish,"$250,000,000 ","$1,045,713,802 ",20 May 2011 (USA),Walt Disney Pictures|Jerry Bruckheimer Films|Moving Picture Company (MPC)
Morgan,R,Action|Horror|Sci-Fi,5.8,1h 32min,Luke Scott,Seth W. Owen,Kate Mara|Anya Taylor-Joy|Rose Leslie,USA,English,"$8,000,000 ","$7,315,248 ",2 September 2016 (USA),"Scott Free Productions|TSG Entertainment|Twentieth Century-Fox Studios, Hollywood"
